name,parent,type,owners,id
LATAM Division Branch 3,LATAM Division,AREA,CK0025,00000000-0000-0000-0000-000000000401
Global Engineering Branch 1,Global Engineering,AREA,CK0026,00000000-0000-0000-0000-000000000402
Global Engineering Branch 2,Global Engineering,AREA,CK0027,00000000-0000-0000-0000-000000000403
Global Engineering Branch 3,Global Engineering,AREA,CK0028,00000000-0000-0000-0000-000000000404
Product Innovation Branch 1,Product Innovation,AREA,CK0029,00000000-0000-0000-0000-000000000405
Product Innovation Branch 2,Product Innovation,AREA,CK0030,00000000-0000-0000-0000-000000000406
Product Innovation Branch 3,Product Innovation,AREA,CK0031,00000000-0000-0000-0000-000000000407
Financial Services Branch 1,Financial Services,AREA,CK0032,00000000-0000-0000-0000-000000000408
Financial Services Branch 2,Financial Services,AREA,CK0033,00000000-0000-0000-0000-000000000409
Financial Services Branch 3,Financial Services,AREA,CK0034,00000000-0000-0000-0000-00000000040a
People and Culture Branch 1,People and Culture,AREA,CK0035,00000000-0000-0000-0000-00000000040b
People and Culture Branch 2,People and Culture,AREA,CK0036,00000000-0000-0000-0000-00000000040c
People and Culture Branch 3,People and Culture,AREA,CK0037,00000000-0000-0000-0000-00000000040d
Legal and Risk Branch 1,Legal and Risk,AREA,CK0038,00000000-0000-0000-0000-00000000040e
Legal and Risk Branch 2,Legal and Risk,AREA,CK0039,00000000-0000-0000-0000-00000000040f
Legal and Risk Branch 3,Legal and Risk,AREA,CK0040,00000000-0000-0000-0000-000000000410
North America Division Branch 1 Unit 1,North America Division Branch 1,SUBAREA,CK0041,00000000-0000-0000-0000-000000000411
North America Division Branch 1 Unit 2,North America Division Branch 1,SUBAREA,CK0042,00000000-0000-0000-0000-000000000412
North America Division Branch 2 Unit 1,North America Division Branch 2,SUBAREA,CK0043,00000000-0000-0000-0000-000000000413
North America Division Branch 2 Unit 2,North America Division Branch 2,SUBAREA,CK0044,00000000-0000-0000-0000-000000000414
North America Division Branch 3 Unit 1,North America Division Branch 3,SUBAREA,CK0045,00000000-0000-0000-0000-000000000415
North America Division Branch 3 Unit 2,North America Division Branch 3,SUBAREA,CK0046,00000000-0000-0000-0000-000000000416
North America Division Branch 4 Unit 1,North America Division Branch 4,SUBAREA,CK0047,00000000-0000-0000-0000-000000000417
North America Division Branch 4 Unit 2,North America Division Branch 4,SUBAREA,CK0048,00000000-0000-0000-0000-000000000418
EMEA Division Branch 1 Unit 1,EMEA Division Branch 1,SUBAREA,CK0049,00000000-0000-0000-0000-000000000419
EMEA Division Branch 1 Unit 2,EMEA Division Branch 1,SUBAREA,CK0050,00000000-0000-0000-0000-00000000041a
EMEA Division Branch 2 Unit 1,EMEA Division Branch 2,SUBAREA,CK0051,00000000-0000-0000-0000-00000000041b
EMEA Division Branch 2 Unit 2,EMEA Division Branch 2,SUBAREA,CK0052,00000000-0000-0000-0000-00000000041c
EMEA Division Branch 3 Unit 1,EMEA Division Branch 3,SUBAREA,CK0053,00000000-0000-0000-0000-00000000041d
EMEA Division Branch 3 Unit 2,EMEA Division Branch 3,SUBAREA,CK0054,00000000-0000-0000-0000-00000000041e
EMEA Division Branch 4 Unit 1,EMEA Division Branch 4,SUBAREA,CK0055,00000000-0000-0000-0000-00000000041f
EMEA Division Branch 4 Unit 2,EMEA Division Branch 4,SUBAREA,CK0056,00000000-0000-0000-0000-000000000420
APAC Division Branch 1 Unit 1,APAC Division Branch 1,SUBAREA,CK0057,00000000-0000-0000-0000-000000000421
APAC Division Branch 1 Unit 2,APAC Division Branch 1,SUBAREA,CK0058,00000000-0000-0000-0000-000000000422
APAC Division Branch 2 Unit 1,APAC Division Branch 2,SUBAREA,CK0059,00000000-0000-0000-0000-000000000423
APAC Division Branch 2 Unit 2,APAC Division Branch 2,SUBAREA,CK0060,00000000-0000-0000-0000-000000000424
APAC Division Branch 3 Unit 1,APAC Division Branch 3,SUBAREA,CK0061,00000000-0000-0000-0000-000000000425
APAC Division Branch 3 Unit 2,APAC Division Branch 3,SUBAREA,CK0062,00000000-0000-0000-0000-000000000426
APAC Division Branch 4 Unit 1,APAC Division Branch 4,SUBAREA,CK0063,00000000-0000-0000-0000-000000000427
APAC Division Branch 4 Unit 2,APAC Division Branch 4,SUBAREA,CK0064,00000000-0000-0000-0000-000000000428
LATAM Division Branch 1 Unit 1,LATAM Division Branch 1,SUBAREA,CK0065,00000000-0000-0000-0000-000000000429
LATAM Division Branch 1 Unit 2,LATAM Division Branch 1,SUBAREA,CK0066,00000000-0000-0000-0000-00000000042a
LATAM Division Branch 2 Unit 1,LATAM Division Branch 2,SUBAREA,CK0067,00000000-0000-0000-0000-00000000042b
LATAM Division Branch 2 Unit 2,LATAM Division Branch 2,SUBAREA,CK0068,00000000-0000-0000-0000-00000000042c
LATAM Division Branch 3 Unit 1,LATAM Division Branch 3,SUBAREA,CK0069,00000000-0000-0000-0000-00000000042d
LATAM Division Branch 3 Unit 2,LATAM Division Branch 3,SUBAREA,CK0070,00000000-0000-0000-0000-00000000042e
Global Engineering Branch 1 Unit 1,Global Engineering Branch 1,SUBAREA,CK0071,00000000-0000-0000-0000-00000000042f
Global Engineering Branch 1 Unit 2,Global Engineering Branch 1,SUBAREA,CK0072,00000000-0000-0000-0000-000000000430
Global Engineering Branch 2 Unit 1,Global Engineering Branch 2,SUBAREA,CK0073,00000000-0000-0000-0000-000000000431
Global Engineering Branch 2 Unit 2,Global Engineering Branch 2,SUBAREA,CK0074,00000000-0000-0000-0000-000000000432
Global Engineering Branch 3 Unit 1,Global Engineering Branch 3,SUBAREA,CK0075,00000000-0000-0000-0000-000000000433
Global Engineering Branch 3 Unit 2,Global Engineering Branch 3,SUBAREA,CK0076,00000000-0000-0000-0000-000000000434
Product Innovation Branch 1 Unit 1,Product Innovation Branch 1,SUBAREA,CK0077,00000000-0000-0000-0000-000000000435
Product Innovation Branch 1 Unit 2,Product Innovation Branch 1,SUBAREA,CK0078,00000000-0000-0000-0000-000000000436
Product Innovation Branch 2 Unit 1,Product Innovation Branch 2,SUBAREA,CK0079,00000000-0000-0000-0000-000000000437
Product Innovation Branch 2 Unit 2,Product Innovation Branch 2,SUBAREA,CK0080,00000000-0000-0000-0000-000000000438
Product Innovation Branch 3 Unit 1,Product Innovation Branch 3,SUBAREA,CK0081,00000000-0000-0000-0000-000000000439
Product Innovation Branch 3 Unit 2,Product Innovation Branch 3,SUBAREA,CK0082,00000000-0000-0000-0000-00000000043a
Financial Services Branch 1 Unit 1,Financial Services Branch 1,SUBAREA,CK0083,00000000-0000-0000-0000-00000000043b
Financial Services Branch 1 Unit 2,Financial Services Branch 1,SUBAREA,CK0084,00000000-0000-0000-0000-00000000043c
Financial Services Branch 2 Unit 1,Financial Services Branch 2,SUBAREA,CK0085,00000000-0000-0000-0000-00000000043d
Financial Services Branch 2 Unit 2,Financial Services Branch 2,SUBAREA,CK0086,00000000-0000-0000-0000-00000000043e
Financial Services Branch 3 Unit 1,Financial Services Branch 3,SUBAREA,CK0087,00000000-0000-0000-0000-00000000043f
Financial Services Branch 3 Unit 2,Financial Services Branch 3,SUBAREA,CK0088,00000000-0000-0000-0000-000000000440
People and Culture Branch 1 Unit 1,People and Culture Branch 1,SUBAREA,CK0089,00000000-0000-0000-0000-000000000441
People and Culture Branch 1 Unit 2,People and Culture Branch 1,SUBAREA,CK0090,00000000-0000-0000-0000-000000000442
People and Culture Branch 2 Unit 1,People and Culture Branch 2,SUBAREA,CK0091,00000000-0000-0000-0000-000000000443
People and Culture Branch 2 Unit 2,People and Culture Branch 2,SUBAREA,CK0092,00000000-0000-0000-0000-000000000444
People and Culture Branch 3 Unit 1,People and Culture Branch 3,SUBAREA,CK0093,00000000-0000-0000-0000-000000000445
People and Culture Branch 3 Unit 2,People and Culture Branch 3,SUBAREA,CK0094,00000000-0000-0000-0000-000000000446
Legal and Risk Branch 1 Unit 1,Legal and Risk Branch 1,SUBAREA,CK0095,00000000-0000-0000-0000-000000000447
Legal and Risk Branch 1 Unit 2,Legal and Risk Branch 1,SUBAREA,CK0096,00000000-0000-0000-0000-000000000448
Legal and Risk Branch 2 Unit 1,Legal and Risk Branch 2,SUBAREA,CK0097,00000000-0000-0000-0000-000000000449
Legal and Risk Branch 2 Unit 2,Legal and Risk Branch 2,SUBAREA,CK0098,00000000-0000-0000-0000-00000000044a
Legal and Risk Branch 3 Unit 1,Legal and Risk Branch 3,SUBAREA,CK0099,00000000-0000-0000-0000-00000000044b
Legal and Risk Branch 3 Unit 2,Legal and Risk Branch 3,SUBAREA,CK0100,00000000-0000-0000-0000-00000000044c
